Instance	Solver	Reward	CPU_s	Customers	Gap_pct
pr16	greedy	220.0	0.00	9	62.26
pr16	rand_greedy	495.0	2.16	26	15.09
pr16	ils09	575.0	2.00	32	1.37
pr16	ils_rr	508.0	1.91	30	12.86
pr16	lns	590.0	1.15	32	-1.20
pr16	grasp_vns	610.0	60.07	34	-4.63
pr16	mcts	387.0	0.30	21	33.62
pr16	pulse	583.0	90.48	31	0.00
pr17	greedy	125.0	0.00	5	65.47
pr17	rand_greedy	322.0	0.38	17	11.05
pr17	ils09	346.0	0.20	19	4.42
pr17	ils_rr	346.0	0.33	19	4.42
pr17	lns	345.0	0.11	19	4.70
pr17	grasp_vns	359.0	6.53	19	0.83
pr17	mcts	306.0	0.06	18	15.47
pr17	pulse	362.0	1.87	19	0.00
pr18	greedy	263.0	0.00	12	51.21
pr18	rand_greedy	406.0	0.94	22	24.68
pr18	ils09	417.0	0.92	23	22.63
pr18	ils_rr	417.0	0.87	23	22.63
pr18	lns	424.0	0.43	24	21.34
pr18	grasp_vns	451.0	23.04	25	16.33
pr18	mcts	332.0	0.07	19	38.40
pr18	pulse	539.0	12.38	28	0.00
pr19	greedy	255.0	0.00	12	34.45
pr19	rand_greedy	407.0	1.56	23	-4.63
pr19	ils09	415.0	1.35	24	-6.68
pr19	ils_rr	415.0	1.30	24	-6.68
pr19	lns	457.0	0.72	26	-17.48
pr19	grasp_vns	487.0	44.43	31	-25.19
pr19	mcts	386.0	0.31	24	0.77
pr19	pulse	389.0	90.17	23	0.00
pr20	greedy	202.0	0.00	9	66.28
pr20	rand_greedy	543.0	2.30	30	9.35
pr20	ils09	585.0	2.01	34	2.34
pr20	ils_rr	543.0	2.25	29	9.35
pr20	lns	566.0	1.12	30	5.51
pr20	grasp_vns	618.0	60.08	35	-3.17
pr20	mcts	410.0	0.16	22	31.55
pr20	pulse	599.0	90.42	32	0.00
